16	8	E	-2151012.512463374	200
transitionprobs	16	10	0.04515565290502915
transitionprobs	16	11	0.029940026900653928
transitionprobs	16	12	0.010767960418622869
transitionprobs	16	13	0.005436639193555384
transitionprobs	16	14	0.009007654370861434
transitionprobs	16	15	0.0
transitionprobs	16	16	0.8446544811875655
emissionprobs	1	0	H3K27ac	0	7.837875230281937E-16
emissionprobs	1	0	H3K27ac	1	0.9999999999999991
emissionprobs	1	1	H3K36me3	0	0.9827332863413923
emissionprobs	1	1	H3K36me3	1	0.017266713658607657
emissionprobs	1	2	H3K4me1	0	0.05604873860821298
emissionprobs	1	2	H3K4me1	1	0.9439512613917869
emissionprobs	1	3	H3K4me3	0	0.8877352765229256
emissionprobs	1	3	H3K4me3	1	0.11226472347707428
emissionprobs	1	4	H3K9me3	0	0.9918348695583118
emissionprobs	1	4	H3K9me3	1	0.008165130441688217
emissionprobs	1	5	H3k27me3	0	0.9992925792980841
emissionprobs	1	5	H3k27me3	1	7.07420701915849E-4
emissionprobs	1	6	Pol2	0	0.9792326480020043
emissionprobs	1	6	Pol2	1	0.0207673519979957
emissionprobs	1	7	p300	0	1.2759707150379492E-7
emissionprobs	1	7	p300	1	0.9999998724029285
emissionprobs	2	0	H3K27ac	0	0.020730987672719137
emissionprobs	2	0	H3K27ac	1	0.9792690123272809
emissionprobs	2	1	H3K36me3	0	0.9914362420608185
emissionprobs	2	1	H3K36me3	1	0.008563757939181557
emissionprobs	2	2	H3K4me1	0	0.04366726934381293
emissionprobs	2	2	H3K4me1	1	0.9563327306561871
emissionprobs	2	3	H3K4me3	0	0.9833804956479592
emissionprobs	2	3	H3K4me3	1	0.016619504352040845
emissionprobs	2	4	H3K9me3	0	0.9949694410529317
emissionprobs	2	4	H3K9me3	1	0.005030558947068289
emissionprobs	2	5	H3k27me3	0	0.9982824608218269
emissionprobs	2	5	H3k27me3	1	0.0017175391781730346
emissionprobs	2	6	Pol2	0	0.9962082652418671
emissionprobs	2	6	Pol2	1	0.0037917347581328826
emissionprobs	2	7	p300	0	0.8279533245993822
emissionprobs	2	7	p300	1	0.17204667540061774
emissionprobs	3	0	H3K27ac	0	0.8114528818944173
emissionprobs	3	0	H3K27ac	1	0.18854711810558256
emissionprobs	3	1	H3K36me3	0	0.8748988595801651
emissionprobs	3	1	H3K36me3	1	0.12510114041983483
emissionprobs	3	2	H3K4me1	0	0.21792828717189403
emissionprobs	3	2	H3K4me1	1	0.7820717128281061
emissionprobs	3	3	H3K4me3	0	1.0
emissionprobs	3	3	H3K4me3	1	3.9581194623250444E-26
emissionprobs	3	4	H3K9me3	0	0.9880663221096544
emissionprobs	3	4	H3K9me3	1	0.011933677890345596
emissionprobs	3	5	H3k27me3	0	0.9974301418864541
emissionprobs	3	5	H3k27me3	1	0.00256985811354582
emissionprobs	3	6	Pol2	0	0.9944663637989672
emissionprobs	3	6	Pol2	1	0.005533636201032779
emissionprobs	3	7	p300	0	0.9617599307538469
emissionprobs	3	7	p300	1	0.038240069246153155
emissionprobs	4	0	H3K27ac	0	0.9385443093322987
emissionprobs	4	0	H3K27ac	1	0.06145569066770123
emissionprobs	4	1	H3K36me3	0	0.9967404244338068
emissionprobs	4	1	H3K36me3	1	0.0032595755661932193
emissionprobs	4	2	H3K4me1	0	0.18644661372497
emissionprobs	4	2	H3K4me1	1	0.8135533862750299
emissionprobs	4	3	H3K4me3	0	0.9946592256000163
emissionprobs	4	3	H3K4me3	1	0.0053407743999836785
emissionprobs	4	4	H3K9me3	0	0.9975825341095929
emissionprobs	4	4	H3K9me3	1	0.0024174658904072286
emissionprobs	4	5	H3k27me3	0	0.9952354725914937
emissionprobs	4	5	H3k27me3	1	0.004764527408506223
emissionprobs	4	6	Pol2	0	0.9992205006491032
emissionprobs	4	6	Pol2	1	7.794993508968153E-4
emissionprobs	4	7	p300	0	0.9465777220087277
emissionprobs	4	7	p300	1	0.05342227799127232
emissionprobs	5	0	H3K27ac	0	0.9998474394830973
emissionprobs	5	0	H3K27ac	1	1.5256051690264456E-4
emissionprobs	5	1	H3K36me3	0	0.9993768084229854
emissionprobs	5	1	H3K36me3	1	6.23191577014513E-4
emissionprobs	5	2	H3K4me1	0	0.9971881757420455
emissionprobs	5	2	H3K4me1	1	0.002811824257954534
emissionprobs	5	3	H3K4me3	0	0.9984589995107835
emissionprobs	5	3	H3K4me3	1	0.0015410004892164022
emissionprobs	5	4	H3K9me3	0	0.9982419055840636
emissionprobs	5	4	H3K9me3	1	0.001758094415936519
emissionprobs	5	5	H3k27me3	0	0.9962584880983198
emissionprobs	5	5	H3k27me3	1	0.003741511901680103
emissionprobs	5	6	Pol2	0	0.9992034699872437
emissionprobs	5	6	Pol2	1	7.965300127562841E-4
emissionprobs	5	7	p300	0	0.9987096624082231
emissionprobs	5	7	p300	1	0.0012903375917768145
emissionprobs	6	0	H3K27ac	0	0.9947008230283854
emissionprobs	6	0	H3K27ac	1	0.005299176971614682
emissionprobs	6	1	H3K36me3	0	0.9719892083158741
emissionprobs	6	1	H3K36me3	1	0.028010791684125937
emissionprobs	6	2	H3K4me1	0	0.9667399430535657
emissionprobs	6	2	H3K4me1	1	0.03326005694643425
emissionprobs	6	3	H3K4me3	0	0.9877974320175266
emissionprobs	6	3	H3K4me3	1	0.012202567982473439
emissionprobs	6	4	H3K9me3	0	0.982234643409779
emissionprobs	6	4	H3K9me3	1	0.01776535659022109
emissionprobs	6	5	H3k27me3	0	0.6307208460519428
emissionprobs	6	5	H3k27me3	1	0.3692791539480572
emissionprobs	6	6	Pol2	0	0.9988450549778856
emissionprobs	6	6	Pol2	1	0.0011549450221144818
emissionprobs	6	7	p300	0	0.9945608005485389
emissionprobs	6	7	p300	1	0.005439199451461093
emissionprobs	7	0	H3K27ac	0	0.7016367070445046
emissionprobs	7	0	H3K27ac	1	0.2983632929554954
emissionprobs	7	1	H3K36me3	0	0.35909458591784565
emissionprobs	7	1	H3K36me3	1	0.6409054140821544
emissionprobs	7	2	H3K4me1	0	0.6896573444532725
emissionprobs	7	2	H3K4me1	1	0.3103426555467274
emissionprobs	7	3	H3K4me3	0	0.6162341776361578
emissionprobs	7	3	H3K4me3	1	0.3837658223638422
emissionprobs	7	4	H3K9me3	0	0.18632641360780072
emissionprobs	7	4	H3K9me3	1	0.8136735863921992
emissionprobs	7	5	H3k27me3	0	0.40298602098553454
emissionprobs	7	5	H3k27me3	1	0.5970139790144654
emissionprobs	7	6	Pol2	0	0.7625923026395481
emissionprobs	7	6	Pol2	1	0.2374076973604518
emissionprobs	7	7	p300	0	0.593737896107325
emissionprobs	7	7	p300	1	0.4062621038926749
emissionprobs	8	0	H3K27ac	0	0.9971584660262028
emissionprobs	8	0	H3K27ac	1	0.002841533973797148
emissionprobs	8	1	H3K36me3	0	0.9088467535688228
emissionprobs	8	1	H3K36me3	1	0.09115324643117714
